project_type,land_area,affected_families,documentation_completion,compensation_completion,legal_disputes,approval_delay_days,rr_completion,possession_completion,stakeholder_response_days,historical_delay_rate,delayed,actual_delay_days
Highway,547.4,373,65.9,62.8,2,16,54.8,18.7,7,37.6,1,63
Industrial Corridor,143.6,108,80.5,59.3,0,14,70.7,62.0,11,34.2,1,15
Highway,198.9,237,69.5,69.6,2,8,71.6,60.3,16,31.0,0,0
Irrigation,1053.7,730,54.4,25.7,3,14,39.5,30.9,8,30.3,1,59
Urban Infrastructure,150.6,224,54.6,46.7,1,38,84.8,71.0,5,30.1,0,0
Highway,409.0,299,82.5,59.0,2,13,26.3,11.3,15,23.5,0,0
Irrigation,408.6,171,81.7,84.3,0,66,58.6,35.8,10,38.1,1,40
Highway,379.3,330,75.9,78.3,0,3,86.0,63.2,5,20.8,0,0
Industrial Corridor,412.5,111,65.7,56.4,0,39,75.1,58.3,4,15.1,0,0
Highway,148.9,129,69.0,54.2,0,15,55.9,24.2,1,10.8,1,295
Urban Infrastructure,213.9,206,66.8,61.3,2,26,100.0,90.6,7,19.2,1,24
Highway,19.3,9,44.0,31.9,0,9,54.2,54.4,7,19.1,0,0
Urban Infrastructure,701.8,660,73.0,56.8,4,4,23.0,20.7,4,18.2,1,240
Industrial Corridor,410.8,263,80.4,92.3,0,34,72.1,64.7,4,13.1,0,0
Irrigation,167.8,75,73.1,69.9,2,45,27.4,34.7,4,30.1,1,68
Industrial Corridor,144.8,35,100.0,99.3,1,19,46.4,46.6,7,15.6,0,0
Industrial Corridor,580.3,169,55.9,54.5,0,13,75.5,83.6,13,32.0,1,83
Urban Infrastructure,158.8,285,61.4,47.7,0,18,53.8,39.6,6,33.9,0,0
Highway,167.4,105,74.1,73.2,1,18,74.6,60.3,5,54.3,0,0
Irrigation,121.0,115,75.9,96.0,1,15,39.8,57.3,3,21.0,0,0
Highway,462.6,313,41.6,36.9,2,21,80.2,81.0,1,24.2,0,0
Irrigation,542.2,988,81.6,88.5,2,27,29.2,0.0,3,17.8,1,159
Highway,238.4,108,76.0,61.1,2,26,89.4,71.0,5,13.1,0,0
Irrigation,544.5,433,38.1,18.8,1,11,53.5,37.7,4,21.4,1,118
Irrigation,358.0,198,70.1,92.5,0,15,93.6,94.6,8,17.5,0,0
Railway,114.9,155,59.1,61.9,3,7,46.2,32.9,8,13.0,0,0
Irrigation,669.8,632,64.7,51.8,2,25,100.0,91.2,3,28.6,1,61
Industrial Corridor,119.9,93,50.6,62.3,1,9,43.8,46.8,8,14.2,0,0
Industrial Corridor,251.1,80,78.7,59.7,1,1,27.1,25.5,4,32.2,0,0
Railway,238.9,545,100.0,77.3,4,12,63.9,62.0,6,35.4,0,0
Irrigation,209.0,144,76.2,70.5,2,26,87.7,100.0,3,16.5,0,0
Urban Infrastructure,46.8,19,37.4,40.2,0,27,78.8,89.7,8,41.4,1,106
Highway,919.9,223,76.6,100.0,2,39,86.3,80.3,4,30.4,0,0
Highway,53.8,15,68.9,49.5,0,73,79.2,82.9,15,25.2,0,0
Highway,696.4,538,54.4,18.4,2,18,46.6,42.1,4,6.4,0,0
Irrigation,140.9,192,77.7,44.6,0,16,78.3,93.4,3,7.2,1,35
Railway,180.2,163,86.1,80.8,1,20,64.9,43.9,4,43.3,0,0
Industrial Corridor,653.5,165,61.3,68.6,1,14,48.8,8.6,4,40.5,1,49
Irrigation,384.2,296,45.7,26.0,2,6,66.6,42.2,1,43.6,0,0
Railway,86.5,139,39.8,33.6,0,6,61.9,35.9,16,46.4,1,94
Urban Infrastructure,84.9,52,61.3,46.6,1,17,91.3,72.9,9,41.1,0,0
Industrial Corridor,347.1,315,69.5,57.3,0,47,52.7,39.7,8,28.6,0,0
Highway,118.2,74,63.7,54.4,1,13,51.8,41.5,6,32.2,0,0
Railway,396.4,408,61.1,38.7,2,31,49.0,53.7,3,18.5,1,27
Highway,423.7,189,81.1,58.2,1,42,100.0,80.6,2,28.6,0,0
Highway,153.2,6,79.4,78.7,1,30,50.1,31.6,6,34.2,0,0
Highway,187.8,63,75.2,80.1,2,33,88.9,86.8,7,34.4,0,0
Urban Infrastructure,354.8,200,85.1,100.0,1,6,42.4,25.5,5,24.6,0,0
Railway,147.9,107,61.5,58.3,1,15,73.1,74.5,21,3.7,1,15
Railway,296.6,171,54.5,61.8,0,4,68.3,68.8,1,9.4,0,0
Industrial Corridor,1093.5,623,63.6,49.7,4,11,87.7,67.1,6,31.2,1,58
Irrigation,366.4,503,62.5,59.2,3,6,84.8,69.3,1,20.4,1,44
Urban Infrastructure,211.2,79,39.2,34.4,1,26,64.6,59.1,5,33.3,1,201
Industrial Corridor,978.7,758,63.3,43.9,4,6,52.3,48.5,5,12.6,1,15
Railway,484.5,129,89.7,76.1,4,6,95.5,83.9,2,41.0,1,28
Railway,120.6,139,84.8,78.4,2,17,50.3,68.8,3,15.7,0,0
Urban Infrastructure,140.3,125,80.4,48.8,0,3,17.6,20.0,5,42.2,0,0
Industrial Corridor,60.5,137,74.1,55.8,1,69,25.8,35.8,6,8.9,1,28
Urban Infrastructure,350.4,127,95.2,93.0,1,15,30.7,21.5,4,32.6,0,0
Highway,38.2,71,55.0,52.2,0,41,74.9,49.6,14,15.8,1,15
Urban Infrastructure,978.0,390,56.6,37.6,1,6,100.0,83.8,12,25.9,1,77
Irrigation,230.5,140,90.0,79.2,0,23,22.2,20.9,3,37.8,0,0
Highway,504.2,151,72.4,80.1,0,27,47.3,48.9,3,35.9,1,42
Irrigation,215.3,482,61.3,40.8,1,8,64.8,67.1,4,16.9,0,0
Irrigation,346.2,337,80.8,55.2,1,32,93.9,54.9,8,19.3,0,0
Highway,253.6,249,65.0,40.5,0,11,47.2,37.2,5,8.7,1,35
Railway,290.6,123,58.6,29.0,3,13,74.8,62.8,7,6.3,0,0
Industrial Corridor,608.2,70,58.2,21.2,0,8,58.0,80.7,12,16.8,0,0
Highway,800.7,474,77.1,44.9,2,33,100.0,100.0,3,16.6,1,15
Railway,761.7,398,75.3,62.5,0,23,65.9,57.6,2,9.4,0,0
Railway,1600.0,296,96.3,91.2,2,22,70.1,68.6,9,23.7,0,0
Highway,161.2,100,67.4,85.0,0,21,64.7,53.7,3,25.6,0,0
Urban Infrastructure,369.6,287,67.1,58.9,1,22,54.7,43.9,8,25.9,0,0
Industrial Corridor,164.1,166,95.0,79.7,2,10,82.0,64.0,7,17.2,0,0
Highway,592.2,78,87.8,79.2,0,30,39.8,58.8,13,19.6,0,0
Urban Infrastructure,125.6,39,74.3,92.7,1,9,23.0,30.6,8,22.5,1,62
Urban Infrastructure,615.1,267,47.0,43.0,1,22,60.0,52.5,7,35.0,1,123
Highway,324.0,456,59.0,42.0,2,16,79.3,80.0,6,18.6,0,0
Industrial Corridor,264.2,368,55.1,61.5,2,12,51.4,47.1,20,7.5,0,0
Highway,286.4,270,72.6,62.3,2,17,66.7,56.1,18,22.5,1,83
Urban Infrastructure,107.3,66,63.9,49.9,1,22,38.6,40.8,7,21.2,1,47
Irrigation,115.4,168,97.6,73.9,2,30,84.3,72.4,5,8.2,0,0
Irrigation,328.0,287,46.9,14.9,1,19,76.0,58.8,4,21.6,1,74
Highway,326.5,461,53.4,50.7,1,36,63.4,53.4,9,16.3,1,36
Urban Infrastructure,170.1,165,75.9,65.3,1,11,66.4,46.6,16,25.1,0,0
Highway,228.6,47,80.3,69.3,1,15,35.1,58.7,10,30.6,1,32
Highway,391.0,44,30.6,13.5,0,27,36.0,35.8,15,20.1,1,104
Highway,147.2,84,44.2,28.7,0,6,60.6,38.2,10,31.6,1,103
Industrial Corridor,53.5,66,67.8,39.8,1,33,73.3,77.3,2,22.6,0,0
Highway,717.9,372,93.7,100.0,0,7,74.3,80.3,22,23.1,0,0
Urban Infrastructure,344.2,558,100.0,86.1,2,58,55.7,48.6,8,22.6,1,31
Irrigation,194.8,228,65.4,50.6,1,11,77.9,69.2,18,23.9,0,0
Highway,163.7,252,69.3,64.6,0,54,91.4,90.4,15,10.9,0,0
Highway,146.1,85,58.6,82.3,0,31,61.2,24.5,2,5.9,0,0
Highway,590.7,226,82.1,75.0,3,5,69.2,55.9,6,38.3,0,0
Irrigation,91.9,32,96.5,98.4,0,8,58.8,63.3,4,28.3,0,0
Industrial Corridor,368.9,378,92.1,60.6,2,6,60.5,73.1,4,20.0,0,0
Highway,368.7,82,71.5,58.2,1,14,66.4,51.3,8,37.7,0,0
Industrial Corridor,468.2,109,58.6,61.7,1,35,97.1,100.0,11,57.5,0,0
Highway,209.4,104,72.1,92.8,0,50,81.3,40.0,3,9.5,0,0
Industrial Corridor,679.2,580,94.1,77.8,0,8,79.5,64.1,2,25.6,1,44
Urban Infrastructure,477.4,210,65.6,47.9,0,7,53.9,36.5,7,33.3,1,338
Industrial Corridor,204.0,284,43.0,38.0,0,24,45.0,32.3,10,8.1,1,43
Irrigation,157.7,245,66.2,49.7,2,5,70.8,45.0,12,9.2,0,0
Industrial Corridor,254.1,19,67.5,64.4,0,35,87.9,100.0,17,36.5,0,0
Highway,198.9,195,42.9,20.0,1,29,97.5,100.0,16,25.4,1,53
Highway,137.4,71,75.7,53.8,0,19,13.9,0.0,9,18.4,1,116
Highway,295.6,375,80.1,95.0,1,34,100.0,68.5,10,8.0,0,0
Railway,229.8,230,100.0,100.0,0,33,71.3,80.8,12,29.6,0,0
Industrial Corridor,783.7,651,50.7,14.3,0,8,81.2,99.5,2,10.6,0,0
Irrigation,198.6,137,83.7,62.6,3,6,28.2,16.7,6,14.8,1,15
Urban Infrastructure,156.5,37,87.5,97.2,1,18,58.3,42.0,15,15.5,0,0
Highway,282.1,690,80.3,94.3,3,35,79.5,68.3,4,22.3,0,0
Industrial Corridor,336.6,104,55.9,45.0,0,8,39.5,31.4,2,13.9,1,150
Highway,354.7,668,55.0,63.0,1,7,5.2,24.0,4,15.6,1,81
Highway,352.3,393,73.6,70.0,0,7,69.7,66.3,4,36.4,1,27
Industrial Corridor,289.0,155,73.4,66.1,2,13,62.0,56.4,7,27.8,1,33
Urban Infrastructure,274.2,133,63.0,56.3,2,1,91.8,91.0,10,26.2,0,0
Irrigation,425.4,96,92.7,68.9,2,9,59.8,79.6,12,30.8,0,0
Highway,127.2,97,65.6,31.9,2,26,61.3,43.5,9,14.4,1,89
Irrigation,157.4,35,41.7,40.4,2,35,77.0,55.0,15,30.0,1,23
Highway,71.7,103,68.4,76.2,2,69,83.7,86.6,4,30.7,0,0
Urban Infrastructure,129.0,114,79.7,66.3,3,17,48.8,42.6,4,14.7,1,15
Industrial Corridor,553.4,406,77.5,46.7,3,11,81.9,80.4,3,32.6,0,0
Highway,413.4,328,77.3,74.9,1,59,52.6,50.9,7,28.6,1,19
Highway,850.4,768,95.9,76.0,1,19,63.3,46.9,4,28.9,0,0
Highway,724.6,435,54.2,57.9,3,19,76.4,59.6,13,44.3,1,89
Urban Infrastructure,415.8,272,65.2,56.9,1,43,79.9,54.8,2,27.3,0,0
Railway,312.2,624,96.7,100.0,4,4,69.4,44.6,15,15.8,0,0
Industrial Corridor,286.0,388,40.5,32.3,3,20,41.4,35.0,3,27.4,1,98
Irrigation,35.6,39,71.1,64.7,0,6,25.6,0.0,13,26.1,1,42
Irrigation,263.7,142,91.7,75.2,3,3,59.2,27.0,4,13.8,0,0
Highway,180.2,29,91.4,58.5,0,8,82.4,83.3,11,3.7,0,0
Urban Infrastructure,133.9,136,82.6,80.0,3,52,72.0,61.1,7,25.3,0,0
Highway,372.0,295,83.0,100.0,0,4,67.8,88.6,11,36.4,0,0
Irrigation,241.0,155,55.3,50.1,0,13,62.9,53.5,1,36.5,1,43
Irrigation,298.6,212,94.0,81.8,1,32,69.2,35.1,6,29.1,0,0
Irrigation,117.8,38,52.8,42.0,0,9,43.1,0.0,14,43.3,1,104
Urban Infrastructure,491.0,194,53.8,48.0,3,68,78.6,71.4,6,27.9,1,180
Highway,197.9,269,78.2,49.4,1,18,79.9,65.9,4,23.8,0,0
Railway,358.6,45,64.1,54.2,2,4,55.9,37.8,2,28.2,0,0
Railway,210.9,263,75.3,68.8,3,8,71.7,33.0,4,17.9,0,0
Railway,28.4,47,78.9,81.8,0,4,28.7,34.4,15,12.1,1,34
Highway,382.3,383,100.0,100.0,1,9,66.6,17.8,9,15.2,0,0
Highway,252.8,246,78.9,66.3,2,14,60.3,56.1,11,20.7,0,0
Highway,67.0,26,62.1,50.7,2,33,88.2,96.8,5,35.5,0,0
Highway,105.7,46,82.8,89.6,2,78,59.0,54.7,5,10.1,0,0
Railway,500.5,284,58.7,51.3,2,15,80.4,83.5,11,15.3,0,0
Irrigation,70.2,19,86.6,80.6,0,29,55.2,39.9,13,34.9,1,46
Irrigation,193.9,80,73.0,73.7,0,17,17.3,33.1,5,22.1,1,15
Railway,897.6,709,78.4,81.5,3,8,58.5,47.4,10,23.8,0,0
Railway,389.0,212,43.5,29.8,3,10,66.9,47.9,8,21.9,1,210
Highway,455.6,380,36.0,31.2,0,49,66.0,34.8,2,47.3,1,44
Irrigation,225.9,306,48.0,48.3,5,12,66.3,47.1,8,32.2,0,0
Highway,61.3,51,99.9,100.0,0,55,52.9,22.6,7,28.8,0,0
Highway,319.1,312,53.6,47.4,1,19,56.5,56.6,2,28.2,1,25
Railway,112.4,24,83.7,62.8,3,21,40.5,25.6,10,30.5,1,62
Railway,103.0,138,61.7,50.8,1,42,23.1,47.5,3,46.3,1,102
Highway,293.7,62,68.2,63.5,1,22,60.9,53.6,4,21.9,0,0
Irrigation,119.4,62,71.3,59.0,1,1,48.1,33.3,31,27.9,1,34
Irrigation,270.2,91,98.3,71.2,0,9,84.6,68.4,4,26.3,0,0
Industrial Corridor,161.7,26,81.4,66.5,3,21,19.4,34.0,5,35.9,0,0
Irrigation,263.5,212,78.2,66.6,2,22,68.8,65.7,2,44.8,0,0
Irrigation,184.3,190,92.7,75.8,1,22,100.0,94.8,1,19.5,0,0
Highway,268.8,453,61.9,56.1,5,17,59.3,56.7,21,31.0,0,0
Industrial Corridor,686.6,601,89.1,78.5,0,20,62.9,43.0,16,27.9,1,120
Irrigation,462.5,191,86.4,85.2,2,45,71.5,65.8,1,10.7,0,0
Railway,247.6,133,86.2,99.9,1,13,73.1,62.6,29,36.7,0,0
Irrigation,617.4,112,69.5,56.7,1,17,54.8,53.1,19,43.2,1,145
Railway,362.2,208,65.0,52.1,0,36,42.8,17.8,8,35.0,1,212
Railway,590.1,429,58.1,54.1,1,37,76.1,50.0,4,19.0,1,149
Industrial Corridor,78.0,78,59.1,36.6,5,6,24.8,20.4,15,11.1,1,56
Urban Infrastructure,120.5,141,57.3,59.4,0,2,79.6,27.8,11,33.1,0,0
Urban Infrastructure,316.4,311,77.9,94.7,1,31,55.2,57.7,23,14.1,1,56
Railway,243.1,93,68.3,70.1,0,25,63.1,39.0,21,15.2,0,0
Irrigation,269.2,83,78.9,92.5,0,18,52.5,57.8,7,28.3,0,0
Industrial Corridor,403.0,451,79.8,67.1,1,33,91.6,71.0,8,34.1,1,38
Highway,318.7,50,55.0,57.5,2,15,68.0,48.6,3,22.3,0,0
Industrial Corridor,492.2,1062,54.6,32.8,1,24,56.6,62.8,4,23.7,1,52
Railway,483.3,212,68.3,46.8,2,12,56.0,49.0,6,24.8,0,0
Highway,125.4,182,59.6,64.5,1,9,60.0,23.0,10,15.9,0,0
Highway,29.7,15,57.9,61.2,1,15,100.0,100.0,23,21.8,0,0
Industrial Corridor,118.6,124,99.1,83.6,0,4,36.7,21.7,4,8.2,0,0
Highway,112.1,35,47.5,25.8,1,9,84.7,70.7,6,34.1,0,0
Highway,284.0,214,100.0,100.0,1,18,74.4,66.0,12,56.7,0,0
Railway,281.4,54,76.6,64.7,0,25,93.8,100.0,8,26.7,0,0
Highway,232.4,210,87.8,100.0,2,42,75.6,54.2,10,39.1,0,0
Highway,371.8,116,85.9,85.6,3,17,63.1,53.9,7,23.1,0,0
Industrial Corridor,1152.1,401,81.9,58.6,2,9,83.4,57.8,3,11.2,0,0
Highway,228.6,127,98.6,48.5,0,6,67.6,55.1,15,50.8,1,15
Industrial Corridor,325.8,206,54.7,50.0,0,39,78.1,68.1,10,16.7,0,0
Urban Infrastructure,269.2,270,69.5,79.0,2,21,91.6,77.0,5,36.4,0,0
Railway,171.6,162,58.4,57.6,0,16,64.9,70.7,6,28.4,0,0
Highway,405.5,326,44.9,36.0,0,21,54.5,22.1,4,39.1,1,122
Irrigation,220.3,274,61.4,62.8,1,34,50.1,46.7,11,25.3,0,0
Highway,143.7,134,100.0,100.0,1,50,72.0,68.4,2,13.2,0,0
Railway,152.7,148,69.2,67.2,2,5,45.4,17.0,4,18.7,1,58
Urban Infrastructure,503.9,174,100.0,86.5,3,15,56.0,43.3,5,51.9,1,250
Urban Infrastructure,398.7,519,100.0,94.4,3,32,43.6,38.1,5,29.5,0,0
Industrial Corridor,186.9,226,100.0,100.0,2,5,73.2,58.0,3,50.0,0,0
Highway,367.6,305,100.0,100.0,2,63,48.0,29.6,7,22.0,0,0
Irrigation,271.5,321,100.0,97.8,2,15,37.3,30.1,2,33.9,0,0
Industrial Corridor,329.7,237,77.2,83.2,1,70,40.8,18.0,11,11.9,0,0
Railway,168.1,292,75.7,77.6,2,5,51.6,61.7,18,26.3,1,58
Irrigation,115.2,90,76.7,59.7,0,38,53.4,40.5,9,50.5,1,34
Highway,219.4,154,72.0,67.2,1,10,68.0,47.0,3,17.4,0,0
Highway,132.7,124,74.4,90.9,1,19,59.8,41.5,10,18.4,0,0
Irrigation,124.6,242,84.0,61.7,2,29,70.4,95.0,6,35.1,0,0
Highway,82.3,42,64.5,50.7,2,36,72.0,64.9,9,27.3,1,62
Highway,30.0,27,50.0,61.4,3,26,77.8,87.0,7,46.9,0,0
Industrial Corridor,189.5,101,77.8,74.9,0,18,24.8,0.0,12,23.3,1,94
Urban Infrastructure,566.6,398,60.9,64.0,2,21,40.5,37.4,8,26.8,1,30
Irrigation,477.1,196,62.6,45.1,2,97,74.1,47.5,5,29.5,1,47
Industrial Corridor,753.2,719,69.7,66.9,1,40,67.2,76.5,4,14.2,0,0
Urban Infrastructure,120.1,89,66.0,59.0,0,8,82.5,67.6,6,11.7,0,0
Highway,423.3,495,89.8,84.4,1,21,32.1,23.0,13,10.7,1,63
Railway,246.7,336,69.3,82.0,1,27,53.5,3.0,6,2.0,0,0
Railway,152.9,227,90.6,62.9,2,1,57.1,30.4,10,25.1,0,0
Highway,524.7,286,75.3,58.0,0,44,66.3,40.6,10,11.7,0,0
Industrial Corridor,248.5,232,70.6,73.1,1,9,63.7,24.3,6,20.1,0,0
Railway,53.4,82,74.5,63.8,2,11,72.4,59.1,6,37.2,0,0
Railway,473.8,194,51.3,29.7,3,6,60.7,53.2,7,15.6,1,190
Highway,350.4,278,77.4,68.6,2,39,90.4,84.6,2,33.6,1,20
Highway,295.6,126,85.6,55.8,0,30,96.8,82.9,9,8.6,0,0
Urban Infrastructure,100.4,194,87.9,39.1,0,40,40.6,73.2,5,18.5,0,0
Highway,320.5,489,50.4,44.2,1,53,63.9,54.9,8,45.2,1,275
Highway,687.7,709,47.7,47.9,5,23,79.0,66.6,5,21.3,1,36
Highway,343.8,351,63.4,69.3,1,13,74.7,68.0,16,40.2,1,65
Railway,71.5,33,94.2,100.0,0,23,54.8,68.8,16,51.9,0,0
Irrigation,362.0,591,75.5,50.0,1,11,68.1,61.3,10,21.4,0,0
Railway,346.3,212,59.6,56.5,0,29,31.3,45.3,1,18.7,1,15
Highway,446.7,218,48.8,28.5,0,45,62.6,27.0,6,2.2,1,58
Highway,339.6,477,61.1,38.0,2,9,33.8,28.7,12,29.2,1,29
Industrial Corridor,124.9,72,60.0,67.1,0,23,73.2,95.1,25,30.2,1,165
Irrigation,284.4,142,87.0,92.0,0,18,40.7,34.8,3,34.5,0,0
Irrigation,222.2,269,88.2,55.8,3,19,66.3,43.9,1,41.3,0,0
Irrigation,309.0,101,55.2,48.2,0,38,69.4,57.8,5,14.7,1,41
Industrial Corridor,537.4,558,84.1,85.3,3,27,64.5,69.2,4,46.6,1,55
Highway,161.3,129,82.4,89.0,2,15,50.4,51.6,10,22.9,0,0
Railway,826.6,951,53.1,47.1,3,17,58.8,54.1,3,30.0,1,92
Irrigation,360.4,350,70.7,41.6,1,21,86.6,84.2,5,25.3,0,0
Railway,475.5,1250,77.5,59.9,5,20,54.5,64.4,5,17.5,0,0
Industrial Corridor,433.8,366,74.6,64.1,1,21,63.4,55.4,8,12.8,0,0
Railway,350.5,201,44.6,14.4,1,34,51.9,62.9,10,28.3,1,90
Industrial Corridor,395.8,295,74.1,46.6,1,6,83.4,60.2,4,15.4,0,0
Urban Infrastructure,8.0,8,82.2,69.5,3,28,64.6,39.5,8,23.6,0,0
Railway,433.3,810,97.3,50.4,1,30,47.7,53.7,1,21.5,0,0
Urban Infrastructure,133.3,144,61.3,56.8,2,67,63.1,64.8,17,22.0,1,148
Irrigation,259.5,114,63.3,39.9,1,18,58.2,55.5,3,6.2,0,0
Urban Infrastructure,348.8,1642,68.7,66.2,3,27,90.9,82.4,14,2.0,1,53
Railway,553.2,735,76.7,56.1,2,38,62.1,49.2,4,35.2,1,127
Railway,133.3,56,73.6,69.1,2,27,35.3,19.4,10,38.4,0,0
Irrigation,193.2,67,81.7,67.2,0,2,73.0,57.4,6,2.0,0,0
Highway,213.7,65,54.0,12.5,3,3,98.7,66.4,11,30.6,0,0
Railway,311.6,225,78.3,57.0,0,17,86.9,77.0,13,28.4,0,0
Urban Infrastructure,223.8,166,60.1,45.4,3,20,40.9,51.4,16,11.4,1,41
Irrigation,397.0,191,69.7,72.5,2,25,57.6,72.7,9,35.9,1,19
Highway,55.7,15,99.3,88.7,0,6,62.4,28.9,1,38.5,0,0
Railway,244.7,86,49.6,55.7,2,31,62.6,46.0,3,37.7,1,34
Highway,731.3,798,67.5,47.1,2,6,70.6,58.5,16,45.2,1,15
Highway,224.2,139,51.6,31.5,0,27,56.1,40.4,6,37.0,1,70
Urban Infrastructure,361.3,138,74.4,68.9,4,8,44.7,33.3,6,16.9,1,18
Railway,498.4,397,88.8,57.5,2,29,82.0,66.5,10,26.2,0,0
Highway,353.3,314,74.7,45.4,1,38,40.5,37.1,9,30.2,0,0
Irrigation,873.6,829,70.1,60.0,2,10,47.0,22.2,21,42.7,1,252
Highway,289.1,225,93.3,77.4,1,26,40.4,39.3,7,23.2,0,0
Highway,410.5,290,77.3,77.5,1,22,75.2,79.7,6,19.0,0,0
Industrial Corridor,320.7,472,85.1,80.9,4,9,65.1,81.5,13,7.8,0,0
Irrigation,638.8,232,83.4,90.5,1,6,80.7,75.3,11,35.6,0,0
Urban Infrastructure,200.5,130,26.0,24.7,1,31,47.3,19.3,3,28.3,1,352
Irrigation,918.3,163,70.8,64.3,2,61,37.9,35.8,6,16.5,1,167
Railway,164.5,98,54.8,70.0,1,15,54.1,65.8,22,34.5,0,0
Industrial Corridor,776.1,645,58.7,42.6,5,3,59.4,46.1,4,22.3,1,143
Urban Infrastructure,120.7,145,95.6,73.3,3,1,67.2,68.0,6,11.4,0,0
Industrial Corridor,419.4,76,66.0,58.1,1,21,29.4,0.0,19,40.6,1,64
Urban Infrastructure,271.5,221,100.0,100.0,4,4,72.6,47.5,19,3.3,0,0
Industrial Corridor,491.7,997,49.5,45.0,3,3,45.1,55.2,15,27.6,1,54
Urban Infrastructure,367.4,364,54.7,66.2,2,9,50.1,43.7,5,24.8,0,0
Highway,474.3,151,84.2,84.7,0,30,86.5,88.8,4,8.0,0,0
Industrial Corridor,117.1,70,66.5,38.2,1,29,19.3,27.7,12,29.6,1,79
Railway,66.1,67,76.9,100.0,2,32,69.5,61.3,17,18.4,1,19
Irrigation,101.3,50,70.2,73.6,1,12,69.4,48.1,7,44.5,0,0
Irrigation,99.1,87,69.7,50.1,1,13,46.6,38.8,9,37.0,1,61
Urban Infrastructure,115.9,98,67.1,68.9,2,40,54.1,52.8,4,28.4,1,45
Urban Infrastructure,173.3,124,74.9,77.8,1,15,87.4,100.0,2,2.0,0,0
Highway,172.1,50,82.3,45.8,0,5,100.0,100.0,2,19.9,0,0
Industrial Corridor,276.1,127,97.8,84.5,1,10,84.3,67.0,7,19.0,0,0
Industrial Corridor,141.3,303,68.8,47.7,1,32,100.0,100.0,4,39.3,1,22
Railway,150.6,86,65.7,50.8,2,26,49.2,21.0,8,28.0,1,105
Highway,234.3,144,63.6,53.3,2,17,31.4,31.2,4,29.5,0,0
Highway,536.4,330,95.5,69.8,2,4,61.9,50.0,14,37.2,0,0
Industrial Corridor,197.8,234,83.0,48.3,0,26,79.1,76.1,5,43.9,0,0
Railway,263.2,167,41.6,57.2,1,14,25.9,34.5,6,42.0,0,0
Urban Infrastructure,294.7,213,40.9,33.4,0,5,44.5,28.9,16,32.0,1,43
Railway,127.6,104,58.7,51.3,0,32,46.7,46.7,8,23.0,0,0
Urban Infrastructure,212.7,268,75.7,73.7,3,15,70.1,73.6,9,30.8,0,0
Railway,160.4,117,71.5,49.8,1,20,67.6,94.2,6,25.6,0,0
Industrial Corridor,503.6,391,80.2,68.6,0,44,47.5,19.0,7,34.6,1,286
Highway,476.6,244,69.2,34.2,1,24,66.6,57.5,3,19.8,0,0
Irrigation,147.7,131,94.4,71.0,3,30,40.1,14.5,13,35.9,0,0
Industrial Corridor,259.5,270,84.4,57.3,1,19,54.5,36.2,5,26.5,0,0
Urban Infrastructure,410.7,444,73.2,82.0,1,34,37.7,12.1,3,30.2,1,160
Industrial Corridor,340.3,666,90.3,93.6,4,7,60.0,59.5,13,12.8,0,0
Highway,365.8,160,45.6,47.7,1,4,47.0,58.6,9,23.0,1,27
Railway,128.2,96,70.6,44.1,1,6,76.8,56.4,10,30.9,0,0
Highway,758.2,484,74.2,79.7,0,13,62.5,51.5,7,24.0,1,20
Highway,170.7,300,81.6,86.7,5,30,58.5,56.5,17,2.0,0,0
Irrigation,166.9,185,44.6,52.3,2,12,98.4,78.3,4,12.4,0,0
Industrial Corridor,90.8,21,67.8,21.3,0,29,70.7,57.1,6,29.8,1,100
Industrial Corridor,241.9,117,78.4,72.4,1,21,55.6,37.0,1,42.5,1,28
Urban Infrastructure,573.7,339,79.6,64.2,2,68,51.3,57.6,1,23.4,1,43
Industrial Corridor,338.0,87,91.0,99.0,2,21,39.4,15.7,8,20.6,0,0
Industrial Corridor,255.9,200,84.2,62.8,2,11,61.7,52.8,9,37.6,0,0
Highway,453.9,239,71.0,87.8,1,27,69.2,43.9,8,26.1,0,0
Highway,564.5,1133,82.8,88.5,2,20,24.7,1.2,10,34.2,0,0
Irrigation,475.9,419,68.8,71.0,2,7,35.7,16.4,12,22.7,0,0
Urban Infrastructure,48.6,28,74.3,63.2,5,16,52.7,45.4,6,21.5,1,32
Highway,456.5,174,84.7,87.8,1,16,41.0,21.4,6,35.0,1,17
Railway,375.7,265,71.3,42.0,1,17,63.9,38.2,3,33.4,0,0
Irrigation,145.1,243,77.8,62.8,1,7,66.6,48.5,8,22.5,1,32
Highway,376.8,242,87.4,89.1,4,61,60.6,48.6,13,13.6,1,18
Railway,574.5,408,83.4,61.4,2,4,74.0,54.3,11,7.6,0,0
Urban Infrastructure,176.6,241,91.7,89.2,1,45,51.3,50.2,21,9.1,0,0
Irrigation,498.4,432,100.0,100.0,3,18,62.1,30.4,7,19.0,0,0
Highway,343.1,402,83.2,62.7,0,8,42.9,59.1,5,29.5,0,0
Urban Infrastructure,10.1,9,64.6,90.9,0,55,68.7,59.2,6,7.7,1,15
Railway,269.7,240,80.2,61.9,2,1,64.5,61.6,11,8.4,0,0
Urban Infrastructure,333.8,74,79.5,81.5,2,8,39.0,39.6,9,30.2,0,0
Highway,219.1,75,81.8,83.8,2,15,59.9,46.3,5,43.3,0,0
